Timestamp,Status,Gen,Fitness,PnL,WinRate,PF,Sharpe,MaxDD,Trades,MutRate,TP,SL,Risk,Cooldown,Conf,TimeSec
2026-05-21 08:50:16,UPDATE,49,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.20,0.004232,0.015000,0.014423,4775,0.406,412.56
2026-05-21 08:57:07,UPDATE,50,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.25,0.004232,0.015000,0.014423,4775,0.406,410.80
2026-05-21 09:03:57,UPDATE,51,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.30,0.004232,0.015000,0.014423,4775,0.406,410.77
2026-05-21 09:10:51,UPDATE,52,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.35,0.004232,0.015000,0.014423,4775,0.406,413.19
2026-05-21 09:17:44,UPDATE,53,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.40,0.004232,0.015000,0.014423,4775,0.406,413.67
2026-05-21 09:24:38,UPDATE,54,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.45,0.004232,0.015000,0.014423,4775,0.406,413.47
2026-05-21 09:31:32,UPDATE,55,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.32
2026-05-21 09:38:28,UPDATE,56,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,415.65
2026-05-21 09:45:20,UPDATE,57,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.60,0.004232,0.015000,0.014423,4775,0.406,412.17
2026-05-21 09:52:29,UPDATE,58,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,428.76
2026-05-21 09:59:26,UPDATE,59,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,417.65
2026-05-21 10:06:20,UPDATE,60,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.18
2026-05-21 10:13:14,UPDATE,61,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,414.02
2026-05-21 10:20:06,UPDATE,62,39059.31,-0.0838,33.80,1.08,0.38,0.0084,71,0.50,0.004232,0.015000,0.014423,4775,0.406,411.72
